id,season,home_team_goal,away_team_goal,date,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,name,name,team_long_name,team_short_name,team_long_name,team_short_name
1775,2008/2009,2,1,2008-11-15 00:00:00,30633,37266,23780,26777,24781,30956,30338,24843,24020,31907,24741,30455,46403,38697,30354,31921,23760,34182,24656,30818,31097,23949,England,England Premier League,Fulham,FUL,Tottenham Hotspur,TOT
1776,2008/2009,0,2,2008-11-15 00:00:00,23932,26454,23783,24336,23785,24372,23933,35532,23784,34261,23934,30660,30617,24134,25984,34222,30889,38818,37139,30618,37920,24635,England,England Premier League,Bolton Wanderers,BOL,Liverpool,LIV
1777,2008/2009,0,3,2008-11-15 00:00:00,36373,31731,37280,26527,24728,40055,24171,24664,38433,32570,27267,23984,25925,31306,30627,30635,30631,32345,30686,31906,37804,30679,England,England Premier League,West Bromwich Albion,WBA,Chelsea,CHE
1778,2008/2009,2,2,2008-11-16 00:00:00,23021,40132,34275,26066,34430,30595,23023,34437,39073,26143,23352,31432,30509,24208,23939,33963,30367,39027,24213,30340,25342,33974,England,England Premier League,Hull City,HUL,Manchester City,MCI
1779,2008/2009,0,0,2008-11-22 00:00:00,30660,37442,30617,25984,34222,37139,95327,38818,37920,24635,30853,30633,37266,23780,26777,24781,24020,30338,24843,30956,31907,24741,England,England Premier League,Liverpool,LIV,Fulham,FUL
1780,2008/2009,0,1,2008-11-23 00:00:00,24527,36786,24446,24740,24408,38802,24411,30352,17866,30988,33418,36374,30687,24751,23818,26348,36394,24223,33049,30966,34543,33781,England,England Premier League,Sunderland,SUN,West Ham United,WHU
1781,2008/2009,1,0,2008-11-23 00:00:00,30455,46403,38697,30354,40006,30895,30818,24656,23760,40755,23949,30622,37764,19020,23921,25667,30842,38711,23889,23916,34947,30646,England,England Premier League,Tottenham Hotspur,TOT,Blackburn Rovers,BLB
1782,2008/2009,0,0,2008-11-22 00:00:00,30380,24780,24658,43280,30357,38609,23283,23782,38807,23264,23354,30726,24150,30620,30865,32569,30893,34944,24154,30802,38817,30829,England,England Premier League,Aston Villa,AVL,Manchester United,MUN
1783,2008/2009,1,3,2008-11-22 00:00:00,22978,33754,24166,24167,24161,24753,33128,24393,30892,35608,42183,23932,26454,23783,24336,23785,23934,23784,35532,23933,24372,34261,England,England Premier League,Middlesbrough,MID,Bolton Wanderers,BOL
1784,2008/2009,3,0,2008-11-22 00:00:00,31432,30509,24208,24211,33963,30367,24213,39027,30340,33974,25342,23686,105826,30986,30616,31291,26181,39297,23678,27277,30843,36410,England,England Premier League,Manchester City,MCI,Arsenal,ARS
1785,2008/2009,2,2,2008-11-22 00:00:00,36286,34036,26108,24216,24630,25517,24653,24373,40987,30830,25543,23021,40132,34275,26066,34430,34437,23023,30595,39073,23352,26143,England,England Premier League,Portsmouth,POR,Hull City,HUL
1786,2008/2009,1,0,2008-11-22 00:00:00,23794,40574,40005,40695,35467,22994,35636,24133,25668,23288,23314,36373,31731,37280,26527,24728,24664,38433,31088,23257,40055,27267,England,England Premier League,Stoke City,STK,West Bromwich Albion,WBA
1787,2008/2009,1,0,2008-11-24 00:00:00,34421,24890,24230,25005,111865,35327,24528,25150,97988,41877,34466,31465,30371,24004,23268,33086,30876,39618,24006,24011,30735,24160,England,England Premier League,Wigan Athletic,WIG,Everton,EVE
1788,2008/2009,0,0,2008-11-22 00:00:00,30859,25925,31306,30627,38834,30631,32345,30686,30630,37804,30679,24224,25518,30929,26209,37475,33852,40565,30360,34574,37799,30619,England,England Premier League,Chelsea,CHE,Newcastle United,NEW
1789,2008/2009,0,0,2008-12-01 00:00:00,30660,37442,30617,24134,414792,24800,30618,30889,37920,37139,24635,36374,30687,24751,23818,26348,36394,24223,24747,30966,33781,34543,England,England Premier League,Liverpool,LIV,West Ham United,WHU
1790,2008/2009,1,4,2008-11-29 00:00:00,32562,36786,24446,24408,38836,38802,24411,30352,17866,33418,30988,23932,26454,23783,24336,23785,23934,23933,35532,23784,24372,34261,England,England Premier League,Sunderland,SUN,Bolton Wanderers,BOL
1791,2008/2009,0,1,2008-11-30 00:00:00,30455,46403,38697,30354,40006,30895,34182,24656,23760,23949,40755,31465,30371,24004,23268,33086,24011,24006,30876,39618,36012,24160,England,England Premier League,Tottenham Hotspur,TOT,Everton,EVE
1792,2008/2009,0,0,2008-11-29 00:00:00,30380,33863,43280,24658,30357,23283,38609,23782,38807,23264,23354,30633,37266,23780,26777,24781,24020,30338,24843,30956,31907,24741,England,England Premier League,Aston Villa,AVL,Fulham,FUL
1793,2008/2009,0,0,2008-11-29 00:00:00,22978,33754,24166,24167,24161,24753,35544,33128,30892,35608,42183,24224,25518,30929,26209,37475,33852,40565,30360,29581,37799,30619,England,England Premier League,Middlesbrough,MID,Newcastle United,NEW
1794,2008/2009,0,1,2008-11-30 00:00:00,31432,24208,39027,24211,33963,30367,24213,34299,30340,33974,25342,30726,38994,30620,30865,32569,30893,24148,34944,30802,30829,27430,England,England Premier League,Manchester City,MCI,Manchester United,MUN
1795,2008/2009,3,2,2008-11-30 00:00:00,36286,34036,24216,24630,40987,23285,25517,24373,63520,30830,30348,30622,37764,19020,23921,24136,30842,38711,23913,23916,34947,30646,England,England Premier League,Portsmouth,POR,Blackburn Rovers,BLB
1796,2008/2009,1,1,2008-11-29 00:00:00,23794,40574,40005,34214,35467,22994,35636,24133,25668,38755,23314,23021,40132,34275,26066,34430,34437,30595,23023,23025,39073,23352,England,England Premier League,Stoke City,STK,Hull City,HUL
1797,2008/2009,2,1,2008-11-29 00:00:00,34421,24890,24230,35472,111865,35327,24528,25150,97988,34466,24841,36373,31731,37280,26527,24728,24171,40055,24664,38433,23257,27267,England,England Premier League,Wigan Athletic,WIG,West Bromwich Albion,WBA
1798,2008/2009,1,2,2008-11-30 00:00:00,30859,25925,31306,30627,38834,32345,30686,30699,30631,31906,37804,23686,26111,38835,30986,31291,39297,30613,23678,26181,30960,30843,England,England Premier League,Chelsea,CHE,Arsenal,ARS
1799,2008/2009,1,0,2008-12-06 00:00:00,30726,38994,30620,30865,32569,30802,24148,34944,30893,30829,27430,24527,38836,24740,24408,36786,24411,,17866,38802,33418,23927,England,England Premier League,Manchester United,MUN,Sunderland,SUN
1800,2008/2009,1,0,2008-12-06 00:00:00,23686,26111,30831,30986,31291,39297,30613,23678,26181,30843,30960,34421,34987,35472,24230,111865,35327,97988,25150,24890,34466,24841,England,England Premier League,Arsenal,ARS,Wigan Athletic,WIG
1801,2008/2009,0,2,2008-12-08 00:00:00,36374,30687,24751,23818,26348,36394,24747,24223,30966,34543,33781,30455,46403,38697,30354,40006,23760,34182,30818,30895,31097,40755,England,England Premier League,West Ham United,WHU,Tottenham Hotspur,TOT
1802,2008/2009,2,3,2008-12-07 00:00:00,31465,30371,24004,23268,33086,24006,39618,30876,24011,36012,25666,30380,33863,43280,24658,30357,23283,38609,23782,38807,23264,23354,England,England Premier League,Everton,EVE,Aston Villa,AVL
1803,2008/2009,2,2,2008-12-06 00:00:00,24224,25518,30929,26209,37475,33852,23983,40565,29581,30619,37799,23794,40574,40005,23284,35467,25668,35636,24133,33941,23072,23314,England,England Premier League,Newcastle United,NEW,Stoke City,STK
1804,2008/2009,1,3,2008-12-06 00:00:00,30622,37764,19020,23921,24136,30842,38711,23913,23916,30646,23170,30660,37442,30617,24134,47547,24800,38818,30889,30915,30618,37139,England,England Premier League,Blackburn Rovers,BLB,Liverpool,LIV
1805,2008/2009,1,1,2008-12-06 00:00:00,30633,37266,23780,26777,24781,30956,30338,24843,24020,31907,24741,31432,30509,24211,23939,26436,34299,39027,24213,30367,30340,25342,England,England Premier League,Fulham,FUL,Manchester City,MCI
1806,2008/2009,0,2,2008-12-06 00:00:00,23932,26454,23783,24336,23785,23934,23784,23933,35532,24372,34261,30859,25925,26564,30627,38834,32345,31906,30631,30699,30686,37804,England,England Premier League,Bolton Wanderers,BOL,Chelsea,CHE
1807,2008/2009,1,1,2008-12-07 00:00:00,36373,31731,37280,26527,24728,24171,38433,24664,40055,23257,27267,36286,34036,34418,24216,24630,38820,25517,24653,40987,30830,30348,England,England Premier League,West Bromwich Albion,WBA,Portsmouth,POR
1808,2008/2009,2,1,2008-12-06 00:00:00,23021,40132,34275,26066,34430,30595,23023,34437,23025,39073,23352,22978,33754,24166,24167,24161,24753,35544,33128,30892,42183,35608,England,England Premier League,Hull City,HUL,Middlesbrough,MID
1809,2008/2009,2,2,2008-12-13 00:00:00,30660,37442,24134,30617,414792,30889,38818,24800,37920,30618,37139,23021,40132,34275,26066,34430,32577,23023,30595,23025,39073,23352,England,England Premier League,Liverpool,LIV,Hull City,HUL
1810,2008/2009,4,0,2008-12-13 00:00:00,24527,36786,24740,24446,24408,38802,24655,30352,17866,33418,30988,36373,31731,26527,37280,24728,24171,38433,40055,23257,24664,23788,England,England Premier League,Sunderland,SUN,West Bromwich Albion,WBA
1811,2008/2009,0,0,2008-12-13 00:00:00,30455,46403,24531,38697,40006,30895,34182,30818,23760,31097,40755,30726,38994,30620,30865,24150,30802,24148,34944,30893,27430,38817,England,England Premier League,Tottenham Hotspur,TOT,Manchester United,MUN
1812,2008/2009,4,2,2008-12-13 00:00:00,30380,33863,43280,24658,30357,23283,38609,23782,38807,23264,23354,23932,26454,23783,24336,23785,23934,23933,23784,35532,24372,34261,England,England Premier League,Aston Villa,AVL,Bolton Wanderers,BOL
1813,2008/2009,1,1,2008-12-13 00:00:00,22978,24162,24163,38899,24167,24159,33128,35544,30892,42183,24753,23686,26111,38835,30986,31291,39297,30613,23678,27277,30843,30960,England,England Premier League,Middlesbrough,MID,Arsenal,ARS
1814,2008/2009,0,1,2008-12-13 00:00:00,31432,30509,24208,24211,26436,24213,39027,40198,30367,25342,33974,31465,30371,24004,23268,33086,24006,31070,24011,36012,39618,30876,England,England Premier League,Manchester City,MCI,Everton,EVE
1815,2008/2009,0,3,2008-12-14 00:00:00,36286,24630,34418,24216,40987,26324,24653,24373,38820,30830,30348,24224,25518,26209,30929,37475,33852,30360,40565,29581,37799,30619,England,England Premier League,Portsmouth,POR,Newcastle United,NEW
1816,2008/2009,0,0,2008-12-13 00:00:00,23794,23369,40005,23284,35467,25668,35636,23253,33941,23314,38755,30633,37266,26777,23780,24781,24020,24843,30338,24737,30956,31907,England,England Premier League,Stoke City,STK,Fulham,FUL
1817,2008/2009,3,0,2008-12-13 00:00:00,34421,34987,24230,25005,111865,35327,25150,24528,24890,127857,34466,30622,37764,19020,23921,24136,30842,23913,38711,23916,30646,23170,England,England Premier League,Wigan Athletic,WIG,Blackburn Rovers,BLB
1818,2008/2009,1,1,2008-12-14 00:00:00,30859,25925,26564,30627,38834,32345,30686,30699,30631,30630,37804,36374,30687,23818,37277,26348,109898,24223,37169,30966,33781,34543,England,England Premier League,Chelsea,CHE,West Ham United,WHU
1819,2008/2009,1,0,2009-01-14 00:00:00,30726,38994,30865,43248,24150,30893,30373,34944,40945,27430,30829,34421,34987,25005,24230,111865,35327,25150,97988,24890,127857,34466,England,England Premier League,Manchester United,MUN,Wigan Athletic,WIG
1820,2008/2009,1,1,2008-12-21 00:00:00,23686,26111,38835,30986,31291,39297,30613,23678,26181,30960,30843,30660,37442,30617,25984,47547,30889,95327,37139,30618,37920,24635,England,England Premier League,Arsenal,ARS,Liverpool,LIV
1821,2008/2009,0,1,2008-12-20 00:00:00,36374,30687,23818,37277,26348,109898,37169,24223,30966,33781,34543,30380,33863,24658,43280,30357,38609,38807,23283,23782,23264,23354,England,England Premier League,West Ham United,WHU,Aston Villa,AVL
1822,2008/2009,0,0,2008-12-22 00:00:00,31465,24023,24004,23268,33086,30371,24006,24011,39618,36012,30876,30859,25925,26564,30627,38834,32345,30630,30699,30631,30686,37804,England,England Premier League,Everton,EVE,Chelsea,CHE
1823,2008/2009,2,1,2008-12-21 00:00:00,24224,25518,26209,30929,37475,33852,40565,30360,29581,24225,30619,30455,46403,30354,24531,40006,23760,34182,24656,30895,31097,40755,England,England Premier League,Newcastle United,NEW,Tottenham Hotspur,TOT
1824,2008/2009,3,0,2008-12-20 00:00:00,30622,37764,19020,23921,24136,30842,30342,38711,23916,34947,34176,23307,40695,40005,23284,35467,25668,35636,23253,23072,33650,38755,England,England Premier League,Blackburn Rovers,BLB,Stoke City,STK
1825,2008/2009,3,0,2008-12-20 00:00:00,30633,37266,23780,26777,24781,24020,24843,30338,24737,30956,31907,22978,24162,24163,38899,24167,24159,97932,35544,30892,24753,42183,England,England Premier League,Fulham,FUL,Middlesbrough,MID
1826,2008/2009,2,1,2008-12-20 00:00:00,23932,26454,23783,24336,23785,23934,23933,23784,24372,23937,34261,36286,24630,34418,24216,23953,25517,24653,24373,38820,30830,30348,England,England Premier League,Bolton Wanderers,BOL,Portsmouth,POR
1827,2008/2009,2,1,2008-12-21 00:00:00,36373,31731,37280,26527,24728,24171,31088,24664,40055,32570,23788,31432,30509,24208,24211,26436,42119,39027,24213,30367,25342,30340,England,England Premier League,West Bromwich Albion,WBA,Manchester City,MCI
1828,2008/2009,1,4,2008-12-20 00:00:00,23021,32577,34275,26066,34430,23438,23023,30595,39073,23025,23352,24527,36786,24446,24740,24408,38802,24655,30352,17866,33418,30988,England,England Premier League,Hull City,HUL,Sunderland,SUN
1829,2008/2009,3,0,2008-12-26 00:00:00,30660,30617,24134,25984,47547,24800,30618,30889,37920,24635,37139,23932,26454,23783,24336,23785,35532,23933,23784,24372,23937,34261,England,England Premier League,Liverpool,LIV,Bolton Wanderers,BOL
1830,2008/2009,0,0,2008-12-26 00:00:00,24527,36786,24446,24740,24408,38802,24655,30352,17866,33418,30988,30622,37764,19020,23921,24136,30842,38711,30342,23916,34176,34947,England,England Premier League,Sunderland,SUN,Blackburn Rovers,BLB
1831,2008/2009,0,0,2008-12-26 00:00:00,30455,46403,24531,30354,40006,30895,34182,24656,23760,31097,23949,30633,37266,43247,23780,24781,30956,24843,30338,24020,31907,24741,England,England Premier League,Tottenham Hotspur,TOT,Fulham,FUL
1832,2008/2009,2,2,2008-12-26 00:00:00,30380,24780,24658,40128,30357,38807,23283,38609,23782,23354,23264,23686,26111,38835,30831,30616,30935,39297,23678,26181,27277,30843,England,England Premier League,Aston Villa,AVL,Arsenal,ARS
1833,2008/2009,0,1,2008-12-26 00:00:00,22978,24162,24163,24167,24161,24753,24393,35544,30892,42183,38491,31465,24023,23268,33086,24846,24011,30371,39618,36012,46810,30876,England,England Premier League,Middlesbrough,MID,Everton,EVE
1834,2008/2009,5,1,2008-12-26 00:00:00,31432,30509,24208,24211,26436,39027,40198,30367,24213,33974,41622,23021,32577,34275,26066,40132,34437,30595,23023,39073,23605,23352,England,England Premier League,Manchester City,MCI,Hull City,HUL
1835,2008/2009,1,4,2008-12-26 00:00:00,36286,47418,34418,24216,40987,23285,24653,24373,38820,30830,30348,36374,30687,23818,37277,26348,109898,37169,24223,30966,33781,34543,England,England Premier League,Portsmouth,POR,West Ham United,WHU
1836,2008/2009,0,1,2008-12-26 00:00:00,23794,23369,40005,40695,35467,25668,23253,35636,33941,23072,38755,30726,30615,43248,30865,24150,30893,30373,24148,24154,30829,38817,England,England Premier League,Stoke City,STK,Manchester United,MUN
1837,2008/2009,2,1,2008-12-26 00:00:00,34421,34987,24230,25005,111865,35327,25150,97988,24890,127857,34466,24224,25518,26209,30929,29581,33852,40565,30360,34574,30623,30619,England,England Premier League,Wigan Athletic,WIG,Newcastle United,NEW
1838,2008/2009,2,0,2008-12-26 00:00:00,30859,25925,31306,26564,38834,30699,32345,30631,30630,30822,37804,36373,31731,37280,26527,24728,24171,40055,24664,31088,23257,41073,England,England Premier League,Chelsea,CHE,West Bromwich Albion,WBA
1839,2008/2009,2,1,2008-08-23 00:00:00,30660,37442,30617,22764,414792,37139,30618,30889,24800,24635,30853,22978,24166,38899,24167,24161,24753,24393,97932,30892,35608,42183,England,England Premier League,Liverpool,LIV,Middlesbrough,MID
1840,2008/2009,1,2,2008-08-23 00:00:00,30455,34182,38697,30354,40006,30895,30818,31097,23760,31921,23949,32562,36786,24446,24408,35467,38802,24411,17866,30352,23927,24410,England,England Premier League,Tottenham Hotspur,TOT,Sunderland,SUN
