team_long_name,team_short_name,date,defenceAggression,defencePressure,defenceTeamWidth
Aston Villa,AVL,2010-02-22 00:00:00,70,30,30
Aston Villa,AVL,2011-02-22 00:00:00,45,35,65
Aston Villa,AVL,2012-02-22 00:00:00,50,43,52
Aston Villa,AVL,2013-09-20 00:00:00,41,39,54
Aston Villa,AVL,2014-09-19 00:00:00,42,39,52
Aston Villa,AVL,2015-09-10 00:00:00,44,35,54
Atalanta,ATA,2010-02-22 00:00:00,30,30,55
Atalanta,ATA,2011-02-22 00:00:00,55,45,65
Atalanta,ATA,2012-02-22 00:00:00,42,55,50
Atalanta,ATA,2013-09-20 00:00:00,53,54,49
Atalanta,ATA,2014-09-19 00:00:00,66,36,49
Atalanta,ATA,2015-09-10 00:00:00,63,36,49
Athletic Club de Bilbao,BIL,2010-02-22 00:00:00,70,30,35
Athletic Club de Bilbao,BIL,2011-02-22 00:00:00,67,48,55
Athletic Club de Bilbao,BIL,2012-02-22 00:00:00,60,37,68
Athletic Club de Bilbao,BIL,2013-09-20 00:00:00,60,37,68
Athletic Club de Bilbao,BIL,2014-09-19 00:00:00,60,37,65
Athletic Club de Bilbao,BIL,2015-09-10 00:00:00,57,49,50
Atlético Madrid,AMA,2010-02-22 00:00:00,34,70,55
Atlético Madrid,AMA,2011-02-22 00:00:00,48,58,54
Atlético Madrid,AMA,2012-02-22 00:00:00,37,52,55
Atlético Madrid,AMA,2013-09-20 00:00:00,37,52,55
Atlético Madrid,AMA,2014-09-19 00:00:00,37,52,55
Atlético Madrid,AMA,2015-09-10 00:00:00,42,49,52
FC Augsburg,AUG,2010-02-22 00:00:00,55,45,45
FC Augsburg,AUG,2011-02-22 00:00:00,49,59,42
FC Augsburg,AUG,2012-02-22 00:00:00,58,47,56
FC Augsburg,AUG,2013-09-20 00:00:00,43,33,52
FC Augsburg,AUG,2014-09-19 00:00:00,55,47,52
FC Augsburg,AUG,2015-09-10 00:00:00,50,34,59
AJ Auxerre,AUX,2010-02-22 00:00:00,55,30,30
AJ Auxerre,AUX,2011-02-22 00:00:00,45,35,65
AJ Auxerre,AUX,2012-02-22 00:00:00,45,34,36
AJ Auxerre,AUX,2013-09-20 00:00:00,45,34,41
AJ Auxerre,AUX,2014-09-19 00:00:00,45,34,36
AJ Auxerre,AUX,2015-09-10 00:00:00,45,34,40
AZ,ALK,2010-02-22 00:00:00,30,30,50
AZ,ALK,2011-02-22 00:00:00,50,60,65
AZ,ALK,2012-02-22 00:00:00,65,60,59
AZ,ALK,2013-09-20 00:00:00,65,50,59
AZ,ALK,2014-09-19 00:00:00,61,50,55
AZ,ALK,2015-09-10 00:00:00,61,50,55
FC Barcelona,BAR,2010-02-22 00:00:00,30,70,70
FC Barcelona,BAR,2011-02-22 00:00:00,43,67,68
FC Barcelona,BAR,2012-02-22 00:00:00,63,66,66
FC Barcelona,BAR,2013-09-20 00:00:00,63,61,65
FC Barcelona,BAR,2014-09-19 00:00:00,63,61,65
FC Barcelona,BAR,2015-09-10 00:00:00,65,61,65
Bari,BAR,2010-02-22 00:00:00,30,40,45
Bari,BAR,2011-02-22 00:00:00,45,55,60
Bari,BAR,2012-02-22 00:00:00,45,45,50
Bari,BAR,2013-09-20 00:00:00,51,49,61
Bari,BAR,2014-09-19 00:00:00,51,49,53
Bari,BAR,2015-09-10 00:00:00,51,50,55
FC Basel,BAS,2010-02-22 00:00:00,60,60,60
FC Basel,BAS,2011-02-22 00:00:00,53,38,55
FC Basel,BAS,2012-02-22 00:00:00,58,47,53
FC Basel,BAS,2013-09-20 00:00:00,58,47,53
FC Basel,BAS,2014-09-19 00:00:00,58,47,53
FC Basel,BAS,2015-09-10 00:00:00,58,47,53
Bayer 04 Leverkusen,LEV,2010-02-22 00:00:00,60,70,70
Bayer 04 Leverkusen,LEV,2011-02-22 00:00:00,39,57,51
Bayer 04 Leverkusen,LEV,2012-02-22 00:00:00,42,50,47
Bayer 04 Leverkusen,LEV,2013-09-20 00:00:00,38,58,47
Bayer 04 Leverkusen,LEV,2014-09-19 00:00:00,46,50,54
Bayer 04 Leverkusen,LEV,2015-09-10 00:00:00,72,61,50
FC Bayern Munich,BMU,2010-02-22 00:00:00,40,70,65
FC Bayern Munich,BMU,2011-02-22 00:00:00,52,39,65
FC Bayern Munich,BMU,2012-02-22 00:00:00,35,49,50
FC Bayern Munich,BMU,2013-09-20 00:00:00,54,52,52
FC Bayern Munich,BMU,2014-09-19 00:00:00,59,61,40
FC Bayern Munich,BMU,2015-09-10 00:00:00,53,72,59
Beerschot AC,BAC,2010-02-22 00:00:00,70,70,70
Beerschot AC,BAC,2011-02-22 00:00:00,34,33,48
Beerschot AC,BAC,2012-02-22 00:00:00,46,45,50
Beerschot AC,BAC,2013-09-20 00:00:00,46,45,67
SC Beira Mar,B-M,2011-02-22 00:00:00,55,47,53
SC Beira Mar,B-M,2012-02-22 00:00:00,52,37,61
SC Beira Mar,B-M,2013-09-20 00:00:00,52,37,61
CF Os Belenenses,BEL,2010-02-22 00:00:00,30,30,30
CF Os Belenenses,BEL,2014-09-19 00:00:00,48,38,49
CF Os Belenenses,BEL,2015-09-10 00:00:00,48,38,49
AC Bellinzona,BEL,2010-02-22 00:00:00,50,45,55
AC Bellinzona,BEL,2011-02-22 00:00:00,50,32,56
SL Benfica,BEN,2010-02-22 00:00:00,30,30,30
SL Benfica,BEN,2011-02-22 00:00:00,56,55,60
SL Benfica,BEN,2012-02-22 00:00:00,51,61,57
SL Benfica,BEN,2013-09-20 00:00:00,58,60,57
SL Benfica,BEN,2014-09-19 00:00:00,57,60,54
SL Benfica,BEN,2015-09-10 00:00:00,57,60,54
Birmingham City,BIR,2010-02-22 00:00:00,70,70,70
Birmingham City,BIR,2011-02-22 00:00:00,60,30,45
Birmingham City,BIR,2012-02-22 00:00:00,48,42,54
Birmingham City,BIR,2013-09-20 00:00:00,44,42,54
Birmingham City,BIR,2014-09-19 00:00:00,48,42,54
Birmingham City,BIR,2015-09-10 00:00:00,47,42,54
Blackburn Rovers,BLB,2010-02-22 00:00:00,70,45,45
Blackburn Rovers,BLB,2011-02-22 00:00:00,60,45,55
Blackburn Rovers,BLB,2012-02-22 00:00:00,50,42,38
Blackburn Rovers,BLB,2013-09-20 00:00:00,50,42,38
Blackburn Rovers,BLB,2014-09-19 00:00:00,50,50,47
Blackburn Rovers,BLB,2015-09-10 00:00:00,50,50,57
Blackpool,BLA,2010-02-22 00:00:00,70,70,70
Blackpool,BLA,2011-02-22 00:00:00,50,45,45
Blackpool,BLA,2012-02-22 00:00:00,52,49,54
Blackpool,BLA,2013-09-20 00:00:00,52,49,54
Blackpool,BLA,2014-09-19 00:00:00,38,39,54
Blackpool,BLA,2015-09-10 00:00:00,38,39,54
Boavista FC,BOA,2015-09-10 00:00:00,62,32,54
VfL Bochum,BOC,2010-02-22 00:00:00,60,40,40
VfL Bochum,BOC,2011-02-22 00:00:00,60,48,56
VfL Bochum,BOC,2012-02-22 00:00:00,53,34,49
VfL Bochum,BOC,2013-09-20 00:00:00,53,40,41
VfL Bochum,BOC,2014-09-19 00:00:00,53,34,49
VfL Bochum,BOC,2015-09-10 00:00:00,47,58,67
Bologna,BOL,2010-02-22 00:00:00,30,55,50
Bologna,BOL,2011-02-22 00:00:00,50,30,50
Bologna,BOL,2012-02-22 00:00:00,45,35,50
Bologna,BOL,2013-09-20 00:00:00,43,43,48
Bologna,BOL,2014-09-19 00:00:00,54,28,48
Bologna,BOL,2015-09-10 00:00:00,54,30,48
Bolton Wanderers,BOL,2010-02-22 00:00:00,70,35,35
Bolton Wanderers,BOL,2011-02-22 00:00:00,55,40,50
Bolton Wanderers,BOL,2012-02-22 00:00:00,48,48,58
Bolton Wanderers,BOL,2013-09-20 00:00:00,48,39,58
Bolton Wanderers,BOL,2014-09-19 00:00:00,48,39,58
Bolton Wanderers,BOL,2015-09-10 00:00:00,48,39,58
Girondins de Bordeaux,BOR,2010-02-22 00:00:00,70,55,70
Girondins de Bordeaux,BOR,2011-02-22 00:00:00,45,55,65
Girondins de Bordeaux,BOR,2012-02-22 00:00:00,46,44,49
Girondins de Bordeaux,BOR,2013-09-20 00:00:00,46,44,49
Girondins de Bordeaux,BOR,2014-09-19 00:00:00,33,37,49
Girondins de Bordeaux,BOR,2015-09-10 00:00:00,52,57,49
Borussia Dortmund,DOR,2010-02-22 00:00:00,70,54,53
Borussia Dortmund,DOR,2011-02-22 00:00:00,67,59,46
Borussia Dortmund,DOR,2012-02-22 00:00:00,69,58,46
Borussia Dortmund,DOR,2013-09-20 00:00:00,70,60,48
Borussia Dortmund,DOR,2014-09-19 00:00:00,68,60,43
Borussia Dortmund,DOR,2015-09-10 00:00:00,71,65,40
Borussia Mönchengladbach,GLA,2010-02-22 00:00:00,40,55,65
Borussia Mönchengladbach,GLA,2011-02-22 00:00:00,58,49,49
Borussia Mönchengladbach,GLA,2012-02-22 00:00:00,43,33,38
Borussia Mönchengladbach,GLA,2013-09-20 00:00:00,53,33,41
Borussia Mönchengladbach,GLA,2014-09-19 00:00:00,50,43,41
Borussia Mönchengladbach,GLA,2015-09-10 00:00:00,48,41,39
US Boulogne Cote D'Opale,BOU,2010-02-22 00:00:00,60,70,70
US Boulogne Cote D'Opale,BOU,2011-02-22 00:00:00,55,35,65
US Boulogne Cote D'Opale,BOU,2012-02-22 00:00:00,44,45,66
Bournemouth,BOU,2010-02-22 00:00:00,70,70,70
Bournemouth,BOU,2011-02-22 00:00:00,46,27,48
Bournemouth,BOU,2012-02-22 00:00:00,50,48,62
Bournemouth,BOU,2013-09-20 00:00:00,50,48,62
Bournemouth,BOU,2014-09-19 00:00:00,50,48,62
Bournemouth,BOU,2015-09-10 00:00:00,50,48,62
SC Braga,BRA,2010-02-22 00:00:00,30,30,30
SC Braga,BRA,2011-02-22 00:00:00,60,40,50
SC Braga,BRA,2012-02-22 00:00:00,48,23,39
SC Braga,BRA,2013-09-20 00:00:00,56,25,39
SC Braga,BRA,2014-09-19 00:00:00,56,25,39
SC Braga,BRA,2015-09-10 00:00:00,56,25,39
Brescia,BRE,2010-02-22 00:00:00,30,45,55
Brescia,BRE,2011-02-22 00:00:00,45,45,55
Brescia,BRE,2012-02-22 00:00:00,45,35,50
Brescia,BRE,2013-09-20 00:00:00,52,41,62
Brescia,BRE,2014-09-19 00:00:00,52,41,57
Brescia,BRE,2015-09-10 00:00:00,52,41,57
Stade Brestois 29,BRE,2010-02-22 00:00:00,70,70,70
Stade Brestois 29,BRE,2011-02-22 00:00:00,45,55,65
Stade Brestois 29,BRE,2012-02-22 00:00:00,34,44,51
Stade Brestois 29,BRE,2013-09-20 00:00:00,34,44,51
Stade Brestois 29,BRE,2014-09-19 00:00:00,34,44,51
Stade Brestois 29,BRE,2015-09-10 00:00:00,34,44,51
Burnley,BUR,2010-02-22 00:00:00,70,65,70
Burnley,BUR,2011-02-22 00:00:00,56,24,66
Burnley,BUR,2012-02-22 00:00:00,50,52,58
Burnley,BUR,2013-09-20 00:00:00,50,48,58
Burnley,BUR,2014-09-19 00:00:00,57,54,58
Burnley,BUR,2015-09-10 00:00:00,62,63,58
SM Caen,CAE,2010-02-22 00:00:00,65,70,70
SM Caen,CAE,2011-02-22 00:00:00,45,55,65
SM Caen,CAE,2012-02-22 00:00:00,45,47,51
SM Caen,CAE,2013-09-20 00:00:00,45,47,51
SM Caen,CAE,2014-09-19 00:00:00,42,43,51
SM Caen,CAE,2015-09-10 00:00:00,42,43,51
Cagliari,CAG,2010-02-22 00:00:00,55,40,60
Cagliari,CAG,2011-02-22 00:00:00,45,45,51
Cagliari,CAG,2012-02-22 00:00:00,45,45,50
Cagliari,CAG,2013-09-20 00:00:00,56,46,51
Cagliari,CAG,2014-09-19 00:00:00,56,37,51
Cagliari,CAG,2015-09-10 00:00:00,65,65,57
SC Cambuur,CAM,2014-09-19 00:00:00,49,42,47
SC Cambuur,CAM,2015-09-10 00:00:00,49,42,47
Cardiff City,CAR,2010-02-22 00:00:00,70,70,70
Cardiff City,CAR,2011-02-22 00:00:00,47,46,53
Cardiff City,CAR,2012-02-22 00:00:00,43,47,56
Cardiff City,CAR,2013-09-20 00:00:00,43,47,56
Cardiff City,CAR,2014-09-19 00:00:00,41,33,39
Cardiff City,CAR,2015-09-10 00:00:00,41,33,39
Carpi,CAP,2014-09-19 00:00:00,44,46,51
Carpi,CAP,2015-09-10 00:00:00,55,25,35
Catania,CAT,2010-02-22 00:00:00,55,35,50
Catania,CAT,2011-02-22 00:00:00,55,35,50
Catania,CAT,2012-02-22 00:00:00,50,25,35
Catania,CAT,2013-09-20 00:00:00,57,37,52
Catania,CAT,2014-09-19 00:00:00,67,28,52
Catania,CAT,2015-09-10 00:00:00,64,31,52
RC Celta de Vigo,CEL,2010-02-22 00:00:00,30,35,50
RC Celta de Vigo,CEL,2011-02-22 00:00:00,41,40,47
RC Celta de Vigo,CEL,2012-02-22 00:00:00,52,42,68
RC Celta de Vigo,CEL,2013-09-20 00:00:00,52,42,68
RC Celta de Vigo,CEL,2014-09-19 00:00:00,52,42,65
RC Celta de Vigo,CEL,2015-09-10 00:00:00,55,55,59
Celtic,CEL,2010-02-22 00:00:00,70,60,70
Celtic,CEL,2011-02-22 00:00:00,46,46,67
Celtic,CEL,2012-02-22 00:00:00,50,50,60
Celtic,CEL,2013-09-20 00:00:00,51,55,60
Celtic,CEL,2014-09-19 00:00:00,54,51,60
Celtic,CEL,2015-09-10 00:00:00,55,58,56
KSV Cercle Brugge,CEB,2010-02-22 00:00:00,60,65,70
KSV Cercle Brugge,CEB,2011-02-22 00:00:00,50,60,70
KSV Cercle Brugge,CEB,2012-02-22 00:00:00,47,59,62
KSV Cercle Brugge,CEB,2013-09-20 00:00:00,47,59,62
KSV Cercle Brugge,CEB,2014-09-19 00:00:00,47,59,62
KSV Cercle Brugge,CEB,2015-09-10 00:00:00,47,59,62
Cesena,CES,2010-02-22 00:00:00,30,50,50
Cesena,CES,2011-02-22 00:00:00,55,35,50
Cesena,CES,2012-02-22 00:00:00,45,35,50
Cesena,CES,2013-09-20 00:00:00,49,39,57
Cesena,CES,2014-09-19 00:00:00,49,39,57
Cesena,CES,2015-09-10 00:00:00,49,39,57
Chelsea,CHE,2010-02-22 00:00:00,60,30,35
Chelsea,CHE,2011-02-22 00:00:00,55,35,50
Chelsea,CHE,2012-02-22 00:00:00,62,60,46
Chelsea,CHE,2013-09-20 00:00:00,43,42,46
Chelsea,CHE,2014-09-19 00:00:00,41,39,46
Chelsea,CHE,2015-09-10 00:00:00,41,39,46
Chievo Verona,CHI,2010-02-22 00:00:00,70,30,65
Chievo Verona,CHI,2011-02-22 00:00:00,70,36,51
Chievo Verona,CHI,2012-02-22 00:00:00,45,25,50
Chievo Verona,CHI,2013-09-20 00:00:00,59,26,51
Chievo Verona,CHI,2014-09-19 00:00:00,59,46,51
Chievo Verona,CHI,2015-09-10 00:00:00,59,46,51
Club Brugge KV,CLB,2010-02-22 00:00:00,70,60,70
Club Brugge KV,CLB,2011-02-22 00:00:00,44,57,47
Club Brugge KV,CLB,2012-02-22 00:00:00,50,60,52
Club Brugge KV,CLB,2013-09-20 00:00:00,59,43,45
Club Brugge KV,CLB,2014-09-19 00:00:00,50,51,57
Club Brugge KV,CLB,2015-09-10 00:00:00,50,51,57
Córdoba CF,COR,2010-02-22 00:00:00,30,35,40
Córdoba CF,COR,2011-02-22 00:00:00,38,40,44
Córdoba CF,COR,2012-02-22 00:00:00,41,36,52
Córdoba CF,COR,2013-09-20 00:00:00,41,36,52
Córdoba CF,COR,2014-09-19 00:00:00,41,36,52
Córdoba CF,COR,2015-09-10 00:00:00,39,38,52
Cracovia,CKR,2010-02-22 00:00:00,70,70,65
Cracovia,CKR,2011-02-22 00:00:00,33,48,63
Cracovia,CKR,2012-02-22 00:00:00,51,59,53
Cracovia,CKR,2014-09-19 00:00:00,34,59,64
Cracovia,CKR,2015-09-10 00:00:00,34,59,64
Crystal Palace,CRY,2010-02-22 00:00:00,60,65,60
Crystal Palace,CRY,2011-02-22 00:00:00,43,48,33
Crystal Palace,CRY,2012-02-22 00:00:00,27,44,53
Crystal Palace,CRY,2013-09-20 00:00:00,33,36,53
Crystal Palace,CRY,2014-09-19 00:00:00,34,36,48
Crystal Palace,CRY,2015-09-10 00:00:00,34,36,41
SV Darmstadt 98,DAR,2015-09-10 00:00:00,56,32,41
De Graafschap,GRA,2011-02-22 00:00:00,45,42,50
De Graafschap,GRA,2012-02-22 00:00:00,43,52,41
RC Deportivo de La Coruña,COR,2010-02-22 00:00:00,35,35,45
RC Deportivo de La Coruña,COR,2011-02-22 00:00:00,44,38,69
RC Deportivo de La Coruña,COR,2012-02-22 00:00:00,50,45,59
RC Deportivo de La Coruña,COR,2013-09-20 00:00:00,50,45,59
RC Deportivo de La Coruña,COR,2014-09-19 00:00:00,50,45,59
RC Deportivo de La Coruña,COR,2015-09-10 00:00:00,50,45,59
Dijon FCO,DIJ,2010-02-22 00:00:00,60,30,30
Dijon FCO,DIJ,2011-02-22 00:00:00,45,35,50
Dijon FCO,DIJ,2012-02-22 00:00:00,46,45,58
Dijon FCO,DIJ,2013-09-20 00:00:00,46,45,58
Dijon FCO,DIJ,2014-09-19 00:00:00,46,45,58
Dijon FCO,DIJ,2015-09-10 00:00:00,46,45,58
Dundee FC,DUF,2013-09-20 00:00:00,47,48,59
Dundee FC,DUF,2015-09-10 00:00:00,44,50,52
Dundee United,DUU,2010-02-22 00:00:00,70,60,70
Dundee United,DUU,2011-02-22 00:00:00,57,57,63
Dundee United,DUU,2012-02-22 00:00:00,38,40,52
Dundee United,DUU,2013-09-20 00:00:00,41,41,52
Dundee United,DUU,2014-09-19 00:00:00,40,41,52
Dundee United,DUU,2015-09-10 00:00:00,42,48,53
Dunfermline Athletic,DUN,2012-02-22 00:00:00,43,42,63
SD Eibar,EIB,2014-09-19 00:00:00,56,37,49
SD Eibar,EIB,2015-09-10 00:00:00,56,37,49
Eintracht Braunschweig,BRA,2012-02-22 00:00:00,42,54,48
Eintracht Braunschweig,BRA,2013-09-20 00:00:00,47,57,53
Eintracht Braunschweig,BRA,2014-09-19 00:00:00,40,30,39
Eintracht Braunschweig,BRA,2015-09-10 00:00:00,47,57,53
Eintracht Frankfurt,EFR,2010-02-22 00:00:00,30,65,45
Eintracht Frankfurt,EFR,2011-02-22 00:00:00,50,48,53
Eintracht Frankfurt,EFR,2012-02-22 00:00:00,45,46,54
Eintracht Frankfurt,EFR,2013-09-20 00:00:00,45,46,57
Eintracht Frankfurt,EFR,2014-09-19 00:00:00,46,43,55
Eintracht Frankfurt,EFR,2015-09-10 00:00:00,42,48,55
Elche CF,ELC,2010-02-22 00:00:00,45,50,45
Elche CF,ELC,2011-02-22 00:00:00,39,40,51
Elche CF,ELC,2012-02-22 00:00:00,51,49,58
Elche CF,ELC,2013-09-20 00:00:00,51,49,58
Elche CF,ELC,2014-09-19 00:00:00,51,49,58
Elche CF,ELC,2015-09-10 00:00:00,51,49,58
Empoli,EMP,2010-02-22 00:00:00,30,30,30
Empoli,EMP,2011-02-22 00:00:00,45,45,47
Empoli,EMP,2012-02-22 00:00:00,45,35,50
Empoli,EMP,2013-09-20 00:00:00,50,39,59
Empoli,EMP,2014-09-19 00:00:00,57,53,54
Empoli,EMP,2015-09-10 00:00:00,66,46,48
FC Energie Cottbus,COT,2010-02-22 00:00:00,70,68,68
FC Energie Cottbus,COT,2011-02-22 00:00:00,48,58,40
FC Energie Cottbus,COT,2012-02-22 00:00:00,47,57,52
FC Energie Cottbus,COT,2013-09-20 00:00:00,47,57,52
FC Energie Cottbus,COT,2014-09-19 00:00:00,55,47,52
RCD Espanyol,ESP,2010-02-22 00:00:00,50,70,60
RCD Espanyol,ESP,2011-02-22 00:00:00,58,51,56
RCD Espanyol,ESP,2012-02-22 00:00:00,40,37,45
RCD Espanyol,ESP,2013-09-20 00:00:00,40,37,45
RCD Espanyol,ESP,2014-09-19 00:00:00,40,37,45
RCD Espanyol,ESP,2015-09-10 00:00:00,40,37,45
Estoril Praia,EST,2013-09-20 00:00:00,49,46,55
Estoril Praia,EST,2014-09-19 00:00:00,49,46,55
Estoril Praia,EST,2015-09-10 00:00:00,49,46,55
KAS Eupen,EUP,2011-02-22 00:00:00,50,50,55
Everton,EVE,2010-02-22 00:00:00,70,40,40
Everton,EVE,2011-02-22 00:00:00,65,55,60
Everton,EVE,2012-02-22 00:00:00,50,50,60
Everton,EVE,2013-09-20 00:00:00,44,41,59
Everton,EVE,2014-09-19 00:00:00,58,52,60
Everton,EVE,2015-09-10 00:00:00,58,52,59
Évian Thonon Gaillard FC,ETG,2011-02-22 00:00:00,55,45,65
Évian Thonon Gaillard FC,ETG,2012-02-22 00:00:00,56,47,50
Évian Thonon Gaillard FC,ETG,2013-09-20 00:00:00,56,47,50
Évian Thonon Gaillard FC,ETG,2014-09-19 00:00:00,56,47,50
Évian Thonon Gaillard FC,ETG,2015-09-10 00:00:00,43,47,50
Excelsior,EXC,2011-02-22 00:00:00,47,25,33
Excelsior,EXC,2012-02-22 00:00:00,30,23,32
Excelsior,EXC,2015-09-10 00:00:00,41,29,36
Falkirk,FAL,2010-02-22 00:00:00,70,60,70
1. FC Köln,FCK,2010-02-22 00:00:00,55,45,70
1. FC Köln,FCK,2011-02-22 00:00:00,40,40,56
1. FC Köln,FCK,2012-02-22 00:00:00,55,43,67
1. FC Köln,FCK,2013-09-20 00:00:00,55,43,67
1. FC Köln,FCK,2014-09-19 00:00:00,46,57,54
1. FC Köln,FCK,2015-09-10 00:00:00,56,42,51
FC Dordrecht,DOR,2015-09-10 00:00:00,58,51,55
FC Groningen,GRO,2010-02-22 00:00:00,30,30,30
FC Groningen,GRO,2011-02-22 00:00:00,44,43,49
FC Groningen,GRO,2012-02-22 00:00:00,47,49,53
FC Groningen,GRO,2013-09-20 00:00:00,47,49,53
FC Groningen,GRO,2014-09-19 00:00:00,47,49,53
FC Groningen,GRO,2015-09-10 00:00:00,47,49,53
FC Porto,POR,2010-02-22 00:00:00,30,30,30
FC Porto,POR,2011-02-22 00:00:00,43,55,65
FC Porto,POR,2012-02-22 00:00:00,49,61,60
FC Porto,POR,2013-09-20 00:00:00,60,58,57
FC Porto,POR,2014-09-19 00:00:00,60,58,60
FC Porto,POR,2015-09-10 00:00:00,60,58,60
FC Utrecht,UTR,2010-02-22 00:00:00,30,30,30
FC Utrecht,UTR,2011-02-22 00:00:00,57,34,34
FC Utrecht,UTR,2012-02-22 00:00:00,49,45,47
FC Utrecht,UTR,2013-09-20 00:00:00,49,45,47
FC Utrecht,UTR,2014-09-19 00:00:00,49,45,47
FC Utrecht,UTR,2015-09-10 00:00:00,58,54,47
FC Vaduz,VAD,2015-09-10 00:00:00,33,42,58
FC Zürich,ZUR,2010-02-22 00:00:00,55,50,50
FC Zürich,ZUR,2011-02-22 00:00:00,49,54,60
FC Zürich,ZUR,2012-02-22 00:00:00,43,47,56
FC Zürich,ZUR,2013-09-20 00:00:00,43,47,56
